 Date  EpochDay  Avg_Irradiance_New  Avg_Irradiance_Old
 800423   114.50  1361.4144  1366.4971
 800424   115.50  1361.3954  1366.4779
 800425   116.50  1361.5784  1366.6616
 800426   117.50  1361.7127  1366.7964
 800427   118.50  1361.7932  1366.8772
 800428   119.50  1361.8597  1366.9440
 800429   120.50  1361.7420  1366.8258
 800430   121.50  1361.6650  1366.7485
 800501   122.50  1361.3951  1366.4776
 800502   123.50  1361.3938  1366.4764
 800503   124.50  1360.8354  1365.9159
 800504   125.50  1360.9836  1366.0646
 800505   126.50  1361.3228  1366.4051
 800506   127.50  1361.5607  1366.6439
 800507   128.50  1361.8303  1366.9145
 800508   129.50  1362.0195  1367.1044
 800509   130.50  1362.1769  1367.2624
 800510   131.50  1362.0556  1367.1406
 800511   132.50   -98.6318   -99.0000
 800512   133.50  1361.5282  1366.6113
 800513   134.50  1361.4554  1366.5382
 800514   135.50  1361.3707  1366.4532
 800515   136.50  1361.9030  1366.9874
 800516   137.50  1361.9876  1367.0724
 800517   138.50  1361.8284  1366.9126
 800518   139.50  1361.7747  1366.8587
 800519   140.50  1361.6684  1366.7520
 800520   141.50  1361.4974  1366.5804
 800521   142.50  1361.3078  1366.3900
 800522   143.50  1361.0228  1366.1039
 800523   144.50  1360.7089  1365.7889
 800524   145.50  1360.4418  1365.5208
 800525   146.50  1360.3408  1365.4195
 800526   147.50  1360.3632  1365.4419
 800527   148.50  1360.5725  1365.6521
 800528   149.50  1360.7968  1365.8771
 800529   150.50  1361.0945  1366.1760
 800530   151.50  1361.4617  1366.5446
 800531   152.50  1361.5880  1366.6713
 800601   153.50  1361.5092  1366.5922
 800602   154.50  1361.3945  1366.4770
 800603   155.50  1361.4230  1366.5056
 800604   156.50  1361.4843  1366.5672
 800605   157.50  1361.5983  1366.6817
 800606   158.50  1361.6228  1366.7062
 800607   159.50  1361.6333  1366.7168
 800608   160.50  1361.6776  1366.7612
 800609   161.50  1361.8533  1366.9376
 800610   162.50  1361.6977  1366.7814
 800611   163.50  1361.7601  1366.8440
 800612   164.50  1361.6464  1366.7299
 800613   165.50  1361.6702  1366.7538
 800614   166.50  1361.6163  1366.6997
 800615   167.50  1361.4988  1366.5817
 800616   168.50  1361.6011  1366.6845
 800617   169.50  1361.8041  1366.8882
 800618   170.50  1362.0906  1367.1758
 800619   171.50  1362.2081  1367.2937
 800620   172.50  1362.0590  1367.1441
 800621   173.50  1361.8214  1366.9056
 800622   174.50  1361.5301  1366.6132
 800623   175.50  1361.2865  1366.3687
 800624   176.50  1361.2549  1366.3369
 800625   177.50  1361.3684  1366.4509
 800626   178.50  1361.5206  1366.6037
 800627   179.50  1361.6648  1366.7484
 800628   180.50  1361.7651  1366.8490
 800629   181.50  1361.6235  1366.7069
 800630   182.50  1361.4958  1366.5787
 800701   183.50  1361.6147  1366.6981
 800702   184.50  1361.7017  1366.7854
 800703   185.50  1361.5648  1366.6480
 800704   186.50  1361.4567  1366.5395
 800705   187.50  1361.4352  1366.5179
 800706   188.50  1361.5609  1366.6441
 800707   189.50  1361.5583  1366.6415
 800708   190.50  1361.4930  1366.5759
 800709   191.50   -98.6318   -99.0000
 800710   192.50  1361.4958  1366.5787
 800711   193.50  1361.4564  1366.5393
 800712   194.50  1361.3068  1366.3890
 800713   195.50  1361.1065  1366.1880
 800714   196.50  1361.0923  1366.1738
 800715   197.50  1361.3390  1366.4214
 800716   198.50  1361.3241  1366.4065
 800717   199.50  1361.2855  1366.3676
 800718   200.50  1361.2110  1366.2929
 800719   201.50  1361.1844  1366.2662
 800720   202.50  1361.3608  1366.4432
 800721   203.50  1361.3690  1366.4514
 800722   204.50  1361.5004  1366.5834
 800723   205.50  1361.7820  1366.8661
 800724   206.50  1361.9451  1367.0297
 800725   207.50  1362.5419  1367.6288
 800726   208.50  1362.6501  1367.7374
 800727   209.50  1362.4876  1367.5743
 800728   210.50  1362.2852  1367.3711
 800729   211.50  1362.3116  1367.3976
 800730   212.50   -98.6318   -99.0000
 800731   213.50  1361.7521  1366.8361
 800801   214.50  1361.6709  1366.7545
 800802   215.50  1361.6353  1366.7188
 800803   216.50  1361.7808  1366.8649
 800804   217.50  1361.8477  1366.9320
 800805   218.50  1361.8369  1366.9212
 800806   219.50  1361.7516  1366.8355
 800807   220.50  1361.7170  1366.8007
 800808   221.50  1361.6616  1366.7452
 800809   222.50  1361.7207  1366.8045
 800810   223.50  1361.7790  1366.8630
 800811   224.50  1361.8343  1366.9186
 800812   225.50  1362.0291  1367.1140
 800813   226.50  1361.9901  1367.0749
 800814   227.50  1362.0466  1367.1316
 800815   228.50  1362.3171  1367.4031
 800816   229.50  1362.2244  1367.3101
 800817   230.50  1361.9387  1367.0233
 800818   231.50  1361.8031  1366.8872
 800819   232.50  1361.7780  1366.8620
 800820   233.50  1361.5876  1366.6709
 800821   234.50  1361.6588  1366.7424
 800822   235.50  1361.8265  1366.9107
 800823   236.50  1361.7602  1366.8441
 800824   237.50  1361.6043  1366.6877
 800825   238.50  1361.5429  1366.6261
 800826   239.50  1361.4685  1366.5514
 800827   240.50  1361.4598  1366.5426
 800828   241.50  1361.3257  1366.4081
 800829   242.50  1361.3131  1366.3953
 800830   243.50  1360.9084  1365.9892
 800831   244.50  1360.3933  1365.4722
 800901   245.50  1360.2484  1365.3267
 800902   246.50   -98.6318   -99.0000
 800903   247.50  1359.8245  1364.9012
 800904   248.50  1359.8370  1364.9138
 800905   249.50  1360.3888  1365.4676
 800906   250.50  1361.0183  1366.0994
 800907   251.50  1361.5273  1366.6104
 800908   252.50  1361.9309  1367.0155
 800909   253.50  1362.2380  1367.3237
 800910   254.50  1362.1211  1367.2064
 800911   255.50  1362.2192  1367.3048
 800912   256.50  1362.1092  1367.1945
 800913   257.50  1361.9426  1367.0272
 800914   258.50  1361.8117  1366.8958
 800915   259.50  1361.6529  1366.7365
 800916   260.50  1361.7488  1366.8327
 800917   261.50  1361.8387  1366.9230
 800918   262.50  1361.8172  1366.9013
